id,full_text
TXT0001,mbg di sekolah kota saya belum ada yang  dapat  malahan🤧
TXT0002,wkwkkdidaerah ku pun yang  dapat mbg baru beberapa sekokah ˙˙
TXT0003,"tahi  tahu tidak  ,gak semua sekolah dapat mbg dan masakan mbg asal tidak enak anak saja  sampai tidak mau makan"
TXT0004,"gencar cegah stunting, mbg telah capai 49% sasaran ibu hamil &amp; balita"
TXT0005,140 siswa kupang keracunan program mbg
TXT0006,"mohon diloloskan min,, kejadian makan bergizi gratis berbelatung, kejadian tersebut terjadi di salah satu sekolah di muntilan magelang harap berhati hati kepada masyarakat terutama yang menerima program makan bergizi gratis. tolong pihak yang berwenang agar lebih diperhatikan"
TXT0007,luar biasa putra bangsa miklos sunario berbicara ttng program mbg di depan presiden czech petr pavel
TXT0008,kegagalan elu. bohong  saja  19 juta lapangan pekerjaan. makan itu  mbg
TXT0009,impor sapi demi mbg tuh yang  di kasih apanya dagingnya susunya apa kotorannya
TXT0010,yang  urus  mbg kan nu..apalagi kejadian ini di jawa timur. mau berharap apa? yang  korup dana haji saja  tidak ditangkep2 sampai  skrg. negeri ini memang  sudah rusak serusak2nya. semoga allah menimpakan azab ke mereka2 aja. janganlah azab seluruh negeri. amin 
TXT0011,dan mendikdasmen nya tak berdaya di saat ribuan siswa telah  banyak  keracunan mbg
TXT0012,mbg ku mana woo
TXT0013,egk sih ini program mengajar mbg dari  kementerian
TXT0014,mbg buat guru?
TXT0015,"bri biayai umkm di kepulauan, dukung dapur mbg"
TXT0016,"mbg, makanan bergizi tidak tuh? hehe"
TXT0017,saya yang  ngebantu beresin mirip  anjir ini ayam sama tahunya hanya digigit saja  otomatis nasinya juga utuh mbg ini mending diganti makan buah gratis saja  tidak sih
TXT0018,"ya allah saya yang  liat sendiri sekolah swasta kecil pada megap2 menuhin honor guru dan tendik, ada yang  honornya per bulan paling 300 ribu  atau 500 rb, dan mau dipotong segede itu buat mbg? riil saya liat realisasinya waktu monev bos, miris. ini pemerintah laknat saja  lah ya allah"
TXT0019,"malah tambah gizi gus, kan mbg kui makan belatung gratis 🤣"
TXT0020,"dia nih goblok njir tidak mikir kedepannya gimana, kamu bisa tidak sih liat kenyataan mbg tuh jelek? stop ngeliat angka saja  goblok males"
TXT0021,"kamu cek pengeluaran buat program flagship wowo, mbg. at the very least anies ganjar tidak akan bikin spending konyol ky begitu "
TXT0022,"menko polkam: mbg diperluas, ketahanan gizi jadi prioritas nasional"
TXT0023,"korban keracunan mbg di sragen tembus 365 orang, dprd panggil kepala dapur sppg mitra mandiri 1 gemolong -"
TXT0024,"presiden prabowo siapkan rp1.376 triliun untuk bansos, makan bergizi gratis hingga subsidi energi"
TXT0025,"prediksi saya sejak awal tidak meleset ""mbg rawan korupsi..!"" sebaiknya dihentikan saja."
TXT0026,"sekolah rakyat tuh bukti kalau negara hadir buat semua, bukan cuma yang di kota. salut , terus lanjutkan!"
TXT0027,"di citos ini kok banyak kali emak2 jualan proyek ya? mana jualannya proyek mbg semua, fenomena apa ini 🤔🤔"
TXT0028,gara gara ikn mbg pensiunan presiden pensiunan dewan dan nombok angaran negara yang  dikorupsi semua akhirnya dipajaki
TXT0029,mbg una
TXT0030,"bilangnya maksain, padahal niatnya biar anak2 tetap makan pas libur. tapi ya kalau laporan fiktif mah wajib diusut juga. lanjutkan mbg, tapi bersihin yang  numpang nguntungin."
TXT0031,siswa keracunan menu mbg kok dibilang belum terbiasa. belum terbiasa keracunan maksudnya ? mengapa ya sekarang ini menteri2nya prabowo kalau bicara asal jeplak tidak pakai nalar. ujung-ujungnya nanti kalau diprotes banyak netizen pasti minta maaf.
TXT0032,"dalam diskusi kali ini, natasya menjelaskan temuan penelitiannya berjudul ""refleksi program makan bergizi gratis: siapkah menjawab tantangan stunting di indonesia?"""
TXT0033,"kasihan  buzzer mbg, dalam hati sebenarnya  mh ingin misuh misuhh"
TXT0034,mbg jadi motor penggerak ekonomi pangan lokal
TXT0035,"betul, buru2 lulus biar tidak dapat  mbg lagi🫰"
TXT0036,"porsi mbg di rapbn pendidikan 2026 turun jadi 29%, anggaran guru-dosen naik"
TXT0037,makan bergizi gratis
TXT0038,"mbg apaan isinya burger murah+telor rebus. mending bikin burger di rumah sendiri, kaya protein dan serat."
TXT0039,jangan woylah.. anaku mbg.nya utuh. tidak suka  katanya. dimakan buahnya doang..
TXT0040,"tidak semua sekolah dapet, ponakan2 ku dari sd,smp sama sma tuh sampai sekarang tidak pernah dapat  mbg wkwkwkwk makanya dibawain bekal sama mama nya"
TXT0041,"bisa tidak sih orang orang menaruh amarah dan kebencian mereka di tempat yang seharusnya? noh data pribadi kamu mau disebar sama pemerintah yang lagi berkuasa, banyak anak-anak keracunan mbg, kamu main sosmed mau dipajakin. fokus ke situ instead of hating an unemployed??"
TXT0042,merdeka bahlil gibran disingkat mbg
TXT0043,"prabowo-gibran cocok saat ini karena pengalaman prabowo di militer dan pertahanan mendukung stabilitas, sementara gibran bawa kontinuitas jokowi untuk infrastruktur, transisi energi, dan program sosial seperti makan bergizi gratis—membangun fondasi ekonomi kuat. setelah fondasi"
